Mar. 17, 2017   14:46:59
Chronopotentiometry
File: e:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.024
Anodic Current (A) = 0.024
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.4
High E Hold Time (s) = 3
Low E Limit (V) = 0
Low E Hold Time (s) = 3
Cathodic Time (s) = 1000
Anodic Time (s) = 1000
Current Switching Polarity = Potential
Segment = 1000

Time/sec, Potential/V
6.350e+1, 2.591e-1
6.360e+1, 2.602e-1
6.370e+1, 2.614e-1
6.380e+1, 2.626e-1
6.390e+1, 2.639e-1
6.400e+1, 2.652e-1
6.410e+1, 2.666e-1
6.420e+1, 2.681e-1
6.430e+1, 2.696e-1
6.440e+1, 2.713e-1
6.450e+1, 2.730e-1
6.460e+1, 2.748e-1
6.470e+1, 2.766e-1
6.480e+1, 2.787e-1
6.490e+1, 2.810e-1
6.500e+1, 2.833e-1
6.510e+1, 2.859e-1
6.520e+1, 2.886e-1
6.530e+1, 2.915e-1
6.540e+1, 2.945e-1
6.550e+1, 2.978e-1
6.560e+1, 3.012e-1
6.570e+1, 3.047e-1
6.580e+1, 3.084e-1
6.590e+1, 3.122e-1
6.600e+1, 3.161e-1
6.610e+1, 3.202e-1
6.620e+1, 3.242e-1
6.630e+1, 3.284e-1
6.640e+1, 3.327e-1
6.650e+1, 3.371e-1
6.660e+1, 3.417e-1
6.670e+1, 3.465e-1
6.680e+1, 3.515e-1
6.690e+1, 3.567e-1
6.700e+1, 3.622e-1
6.710e+1, 3.680e-1
6.720e+1, 3.739e-1
6.730e+1, 3.800e-1
6.740e+1, 3.862e-1
6.750e+1, 3.925e-1
6.760e+1, 3.989e-1
6.770e+1, 3.680e-1
6.780e+1, 3.516e-1
6.790e+1, 3.391e-1
6.800e+1, 3.283e-1
6.810e+1, 3.186e-1
6.820e+1, 3.101e-1
6.830e+1, 3.024e-1
6.840e+1, 2.956e-1
6.850e+1, 2.893e-1
6.860e+1, 2.835e-1
6.870e+1, 2.779e-1
6.880e+1, 2.727e-1
6.890e+1, 2.675e-1
6.900e+1, 2.624e-1
6.910e+1, 2.573e-1
6.920e+1, 2.523e-1
6.930e+1, 2.471e-1
6.940e+1, 2.420e-1
6.950e+1, 2.367e-1
6.960e+1, 2.314e-1
6.970e+1, 2.260e-1
6.980e+1, 2.207e-1
6.990e+1, 2.155e-1
7.000e+1, 2.103e-1
7.010e+1, 2.051e-1
7.020e+1, 2.001e-1
7.030e+1, 1.953e-1
7.040e+1, 1.906e-1
7.050e+1, 1.861e-1
7.060e+1, 1.817e-1
7.070e+1, 1.776e-1
7.080e+1, 1.736e-1
7.090e+1, 1.699e-1
7.100e+1, 1.664e-1
7.110e+1, 1.632e-1
7.120e+1, 1.602e-1
7.130e+1, 1.574e-1
7.140e+1, 1.548e-1
7.150e+1, 1.525e-1
7.160e+1, 1.503e-1
7.170e+1, 1.483e-1
7.180e+1, 1.465e-1
7.190e+1, 1.447e-1
7.200e+1, 1.431e-1
7.210e+1, 1.416e-1
7.220e+1, 1.402e-1
7.230e+1, 1.388e-1
7.240e+1, 1.376e-1
7.250e+1, 1.364e-1
7.260e+1, 1.352e-1
7.270e+1, 1.341e-1
7.280e+1, 1.331e-1
7.290e+1, 1.321e-1
7.300e+1, 1.312e-1
7.310e+1, 1.304e-1
7.320e+1, 1.297e-1
7.330e+1, 1.290e-1
7.340e+1, 1.283e-1
7.350e+1, 1.276e-1
7.360e+1, 1.271e-1
7.370e+1, 1.265e-1
7.380e+1, 1.260e-1
7.390e+1, 1.254e-1
7.400e+1, 1.249e-1
7.410e+1, 1.244e-1
7.420e+1, 1.238e-1
7.430e+1, 1.233e-1
7.440e+1, 1.227e-1
7.450e+1, 1.222e-1
7.460e+1, 1.216e-1
7.470e+1, 1.210e-1
7.480e+1, 1.204e-1
7.490e+1, 1.198e-1
7.500e+1, 1.191e-1
7.510e+1, 1.185e-1
7.520e+1, 1.179e-1
7.530e+1, 1.173e-1
7.540e+1, 1.166e-1
7.550e+1, 1.159e-1
7.560e+1, 1.151e-1
7.570e+1, 1.143e-1
7.580e+1, 1.135e-1
7.590e+1, 1.127e-1
7.600e+1, 1.119e-1
7.610e+1, 1.110e-1
7.620e+1, 1.101e-1
7.630e+1, 1.092e-1
7.640e+1, 1.082e-1
7.650e+1, 1.071e-1
7.660e+1, 1.060e-1
7.670e+1, 1.048e-1
7.680e+1, 1.035e-1
7.690e+1, 1.020e-1
7.700e+1, 1.004e-1
7.710e+1, 9.848e-2
7.720e+1, 9.624e-2
7.730e+1, 9.347e-2
7.740e+1, 8.992e-2
7.750e+1, 8.518e-2
7.760e+1, 7.881e-2
7.770e+1, 7.080e-2
7.780e+1, 6.176e-2
7.790e+1, 5.241e-2
7.800e+1, 4.313e-2
7.810e+1, 3.418e-2
7.820e+1, 2.558e-2
7.830e+1, 1.739e-2
7.840e+1, 9.582e-3
7.850e+1, 2.036e-3
7.860e+1, 1.979e-1
7.870e+1, 1.994e-1
7.880e+1, 1.994e-1
7.890e+1, 1.998e-1
7.900e+1, 2.003e-1
7.910e+1, 2.008e-1
7.920e+1, 2.014e-1
7.930e+1, 2.019e-1
7.940e+1, 2.025e-1
7.950e+1, 2.030e-1
7.960e+1, 2.035e-1
7.970e+1, 2.040e-1
7.980e+1, 2.046e-1
7.990e+1, 2.051e-1
8.000e+1, 2.056e-1
8.010e+1, 2.061e-1
8.020e+1, 2.067e-1
8.030e+1, 2.072e-1
8.040e+1, 2.078e-1
8.050e+1, 2.084e-1
8.060e+1, 2.090e-1
8.070e+1, 2.095e-1
8.080e+1, 2.102e-1
8.090e+1, 2.108e-1
8.100e+1, 2.114e-1
8.110e+1, 2.121e-1
8.120e+1, 2.127e-1
8.130e+1, 2.134e-1
8.140e+1, 2.141e-1
8.150e+1, 2.148e-1
8.160e+1, 2.155e-1
8.170e+1, 2.162e-1
8.180e+1, 2.168e-1
8.190e+1, 2.175e-1
8.200e+1, 2.182e-1
8.210e+1, 2.190e-1
8.220e+1, 2.197e-1
8.230e+1, 2.204e-1
8.240e+1, 2.212e-1
8.250e+1, 2.219e-1
8.260e+1, 2.227e-1
8.270e+1, 2.234e-1
8.280e+1, 2.242e-1
8.290e+1, 2.250e-1
8.300e+1, 2.257e-1
8.310e+1, 2.265e-1
8.320e+1, 2.273e-1
8.330e+1, 2.281e-1
8.340e+1, 2.288e-1
8.350e+1, 2.296e-1
8.360e+1, 2.304e-1
8.370e+1, 2.312e-1
8.380e+1, 2.321e-1
8.390e+1, 2.329e-1
8.400e+1, 2.337e-1
8.410e+1, 2.345e-1
8.420e+1, 2.354e-1
8.430e+1, 2.362e-1
8.440e+1, 2.371e-1
8.450e+1, 2.380e-1
8.460e+1, 2.388e-1
8.470e+1, 2.397e-1
8.480e+1, 2.405e-1
8.490e+1, 2.413e-1
8.500e+1, 2.422e-1
8.510e+1, 2.431e-1
8.520e+1, 2.439e-1
